i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.3108768,4.012262,3.137042,2.9075236,2.833278,2.4006817,3.7982805,518.0,514.6891231536865,-260.65543842315674,-255.68912315368652,516.3445615768433
3.3108807,4.0121474,3.1370416,2.9187899,2.833278,2.4006817,3.7983084,522.0,518.6891193389893,-262.65544033050537,-257.68911933898926,520.3445596694946
3.3111355,4.0167375,3.1370537,2.9149008,2.833278,2.4006817,3.7984314,538.0,534.6888644695282,-270.6555677652359,-265.6888644695282,536.3444322347641
3.3378828,4.03177,3.1371007,2.9243565,2.8332777,2.4006817,3.7984881,566.0,562.6621172428131,-284.66894137859344,-279.6621172428131,564.3310586214066
3.425195,4.0310526,3.1386,3.021243,2.833278,2.4006815,3.7988675,578.0,574.574805021286,-290.712597489357,-285.574805021286,576.287402510643
3.4263432,4.0100627,3.1487484,3.0374486,2.8332777,2.4006817,3.7985494,534.0,530.5736567974091,-268.71317160129547,-263.57365679740906,532.2868283987045
3.3803992,4.0307374,3.1406555,2.805725,2.8332818,2.4006817,3.7992537,487.0,483.61960077285767,-245.19019961357117,-240.11960077285767,485.30980038642883
3.358219,3.8354383,3.137041,2.8639739,2.878154,2.4006817,3.80399,501.0,497.64178109169006,-252.17910945415497,-247.14178109169006,499.32089054584503
3.3083565,3.8041775,3.137041,2.902205,2.8591747,2.4006815,3.8248577,516.0,512.6916434764862,-259.6541782617569,-254.6916434764862,514.3458217382431
3.3119168,3.8354418,3.1370711,2.8429904,2.846173,2.400683,3.824049,520.0,516.6880831718445,-261.65595841407776,-256.6880831718445,518.3440415859222
3.3108966,4.0271025,3.1370418,2.8289328,2.8333428,2.4006817,3.8253744,521.0,517.6891033649445,-262.15544831752777,-257.18910336494446,519.3445516824722
3.3108647,3.8176708,2.9527903,2.841998,2.8125026,2.2578487,3.825512,522.0,518.6891353130341,-262.65543234348297,-257.68913531303406,520.344567656517
3.3108644,3.8041692,2.9529867,2.912435,2.8190525,2.2534766,3.793124,522.0,518.6891355514526,-262.6554322242737,-257.68913555145264,520.3445677757263
3.3108644,3.8041694,2.9544082,2.9190524,2.8700044,2.3146782,3.7984526,521.0,517.6891355514526,-262.1554322242737,-257.18913555145264,519.3445677757263
3.2828739,4.0275774,3.1367903,3.055414,2.833443,2.4006824,3.790455,521.0,517.7171261310577,-262.14143693447113,-257.21712613105774,519.3585630655289
3.3108644,3.7325792,2.7614574,2.811148,2.8332853,2.3470228,3.823966,522.0,518.6891355514526,-262.6554322242737,-257.68913555145264,520.3445677757263
3.3095016,3.7327168,2.9527419,2.9287248,2.8483074,2.268032,3.6370704,524.0,520.6904983520508,-263.6547508239746,-258.6904983520508,522.3452491760254
